"","dt","symbol1","symbol2","coint","p_value","test_value","residual_se","beta"
"1",2014-01-01,"A","ACH",0,NA,NA,NA,NA
"2",2014-01-01,"A","ACN",0,NA,NA,NA,NA
"3",2014-01-01,"A","ADS",0,NA,NA,NA,NA
"4",2014-01-01,"A","AIV",0,NA,NA,NA,NA
"5",2014-01-01,"A","ASGN",0,NA,NA,NA,NA
"6",2014-01-01,"A","AUO",0,NA,NA,NA,NA
"7",2014-01-01,"A","BG",0,NA,NA,NA,NA
"8",2014-01-01,"A","BLK",0,NA,NA,NA,NA
"9",2014-01-01,"A","BPL",0,NA,NA,NA,NA
"10",2014-01-01,"A","BVN",0,NA,NA,NA,NA
"11",2014-01-01,"A","BXP",0,NA,NA,NA,NA
"12",2014-01-01,"A","BYD",0,NA,NA,NA,NA
"13",2014-01-01,"A","CBD",0,NA,NA,NA,NA
"14",2014-01-01,"A","CCJ",0,NA,NA,NA,NA
"15",2014-01-01,"A","CCL",0,NA,NA,NA,NA
"16",2014-01-01,"A","CEA",0,NA,NA,NA,NA
"17",2014-01-01,"A","CHA",0,NA,NA,NA,NA
"18",2014-01-01,"A","CIEN",0,NA,NA,NA,NA
"19",2014-01-01,"A","CLB",0,NA,NA,NA,NA
"20",2014-01-01,"A","CNX",0,NA,NA,NA,NA
"21",2014-01-01,"A","COF",0,NA,NA,NA,NA
"22",2014-01-01,"A","COG",0,NA,NA,NA,NA
"23",2014-01-01,"A","CPT",0,NA,NA,NA,NA
"24",2014-01-01,"A","CRL",0,NA,NA,NA,NA
"25",2014-01-01,"A","DECK",0,NA,NA,NA,NA
"26",2014-01-01,"A","DKS",0,NA,NA,NA,NA
"27",2014-01-01,"A","DNP",0,NA,NA,NA,NA
"28",2014-01-01,"A","EL",0,NA,NA,NA,NA
"29",2014-01-01,"A","EPR",0,NA,NA,NA,NA
"30",2014-01-01,"A","ERJ",0,NA,NA,NA,NA
"31",2014-01-01,"A","ESS",0,NA,NA,NA,NA
"32",2014-01-01,"A","FBR",0,NA,NA,NA,NA
"33",2014-01-01,"A","FDS",0,NA,NA,NA,NA
"34",2014-01-01,"A","FR",0,NA,NA,NA,NA
"35",2014-01-01,"A","FUN",0,NA,NA,NA,NA
